_recordId,Q2_1,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8
R_eVdL0FTb9GAU90y,3,2,1,1,3,2,1,2,3,2,3,1,4,7,3,6,2,1,8,5
R_9t1Qim2LABlXI10,3,1,2,1,2,3,1,3,2,3,1,2,2,3,6,7,1,8,5,4
R_8cRAsZbyqGLrNxI,2,1,3,1,3,2,1,2,3,1,3,2,8,7,5,6,4,1,3,2
R_agAhm5PK8FxrfVA,2,3,1,3,2,1,2,1,3,2,3,1,4,2,6,8,1,5,3,7
R_cUv6PGx3dDH1KFo,1,3,2,3,1,2,3,2,1,2,3,1,2,4,3,7,6,1,5,8
R_6QzJGZ037m5VcJE,2,1,3,2,1,3,2,3,1,2,1,3,5,6,8,1,7,4,3,2
R_8Dm66heiW9sZ0Bo,3,1,2,2,3,1,1,3,2,3,1,2,5,8,7,3,1,6,2,4
R_bCMlP4LZ3XVq2eW,3,2,1,2,1,3,1,2,3,1,2,3,6,1,7,4,5,8,2,3
R_3fUgbTHqU5HCRvg,2,3,1,3,1,2,1,3,2,2,1,3,5,8,6,2,1,3,7,4
R_cBxDxnHS0yxqaSa,3,1,2,3,2,1,2,3,1,3,2,1,4,8,2,6,1,7,5,3
R_2hHW57Odw3jwMWG,1,3,2,2,1,3,1,3,2,1,3,2,3,2,7,5,1,4,6,8
R_9LwaqYiEd2HD1nU,1,3,2,2,3,1,2,3,1,3,1,2,1,4,7,5,3,8,6,2
R_5aRuNvTANdZzP4G,2,3,1,1,3,2,3,2,1,3,1,2,3,7,6,1,8,4,2,5
R_1RALYKS43PoFQVg,1,2,3,1,2,3,3,1,2,2,3,1,4,1,6,7,3,2,5,8
R_247FD9tIE6x9vMy,1,3,2,1,3,2,2,1,3,2,3,1,2,4,7,3,6,8,1,5
R_0fjlhilMHPQw5Dw,3,2,1,1,2,3,1,3,2,3,2,1,5,3,1,6,7,8,2,4
R_e5Sf0veUKUfFbgi,3,1,2,2,1,3,3,1,2,2,1,3,4,8,2,5,1,6,3,7
R_9uafX3BYfYi5T4W,2,1,3,1,2,3,2,1,3,3,2,1,5,3,7,6,1,2,8,4
R_0ecgLX4LBiU6t8i,2,1,3,2,1,3,1,3,2,1,2,3,1,7,8,2,4,5,6,3
R_9KLryOWuSAOdUDY,2,3,1,2,3,1,1,2,3,2,1,3,8,7,2,5,4,3,1,6
R_88PiIxSq6jftZtA,2,1,3,3,1,2,2,3,1,3,1,2,4,8,2,1,6,7,3,5
R_4N4fsRlUCNnGsdM,2,3,1,2,1,3,3,2,1,2,1,3,6,3,8,1,2,4,7,5
R_d6ApuJKwKdDDm7A,3,1,2,3,1,2,2,3,1,2,3,1,2,6,3,7,4,8,5,1
R_a5ekfxKztctZ9Fc,3,1,2,2,1,3,2,1,3,1,3,2,5,3,1,6,8,7,4,2
R_6RPwRXquUPB7rJY,3,2,1,1,3,2,1,3,2,1,2,3,6,4,5,7,8,3,2,1
R_cvwyXoJmW908ub4,3,1,2,2,1,3,3,2,1,1,3,2,1,5,3,8,4,2,7,6
R_5nhNQFOxfbJlqse,2,3,1,2,3,1,3,1,2,1,3,2,6,3,5,7,4,1,2,8
R_9WuNjrXRx9JPsNw,3,1,2,2,3,1,3,1,2,3,1,2,1,2,3,6,7,8,5,4
R_03thFY543UzrQi2,3,2,1,2,3,1,1,3,2,3,1,2,1,7,2,3,8,4,5,6
R_6osPkd3fNx4I5zU,1,3,2,1,3,2,1,2,3,2,1,3,5,3,7,1,4,2,6,8
R_1MTXIRmoDWkMT0G,2,1,3,3,1,2,2,3,1,3,2,1,8,7,1,2,3,4,6,5
R_3DcX2ca7rBaWhLM,2,1,3,1,2,3,2,1,3,3,2,1,6,4,2,3,8,7,1,5
R_d3XzfTM7dSBp034,2,3,1,1,2,3,2,1,3,2,1,3,3,1,5,4,7,2,8,6
R_06z7k0Xhc9ZejC6,1,2,3,2,1,3,3,1,2,3,1,2,6,5,4,3,8,2,1,7
R_aWQabJ5Z0oNOLmS,1,2,3,2,3,1,1,3,2,3,2,1,2,8,4,5,1,6,3,7
